State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
KY,Adair County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Allen County,21600,24700,27800,30850,33350,35800,38300,40750,13590,18310,23030,27750,32470,35800,38300,40750,34550,39500,44450,49350,53300,57250,61200,65150
KY,Anderson County,26350,30100,33850,37600,40650,43650,46650,49650,15800,18310,23030,27750,32470,37190,41910,46630,42150,48150,54150,60150,65000,69800,74600,79400
KY,Ballard County,22200,25350,28500,31650,34200,36750,39250,41800,13590,18310,23030,27750,32470,36750,39250,41800,35500,40550,45600,50650,54750,58800,62850,66900
KY,Barren County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Bath County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Bell County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Boone County,33450,38200,43000,47750,51600,55400,59250,63050,20100,22950,25800,28650,32470,37190,41910,46630,53500,61150,68800,76400,82550,88650,94750,100850
KY,Bourbon County,29550,33800,38000,42200,45600,49000,52350,55750,17750,20250,23030,27750,32470,37190,41910,46630,47250,54000,60750,67500,72900,78300,83700,89100
KY,Boyd County,22900,26200,29450,32700,35350,37950,40550,43200,13750,18310,23030,27750,32470,37190,40550,43200,36650,41850,47100,52300,56500,60700,64900,69050
KY,Boyle County,22300,25450,28650,31800,34350,36900,39450,42000,13590,18310,23030,27750,32470,36900,39450,42000,35650,40750,45850,50900,55000,59050,63150,67200
KY,Bracken County,33450,38200,43000,47750,51600,55400,59250,63050,20100,22950,25800,28650,32470,37190,41910,46630,53500,61150,68800,76400,82550,88650,94750,100850
KY,Breathitt County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Breckinridge County,24500,28000,31500,35000,37800,40600,43400,46200,14700,18310,23030,27750,32470,37190,41910,46200,39200,44800,50400,56000,60500,65000,69450,73950
KY,Bullitt County,29650,33900,38150,42350,45750,49150,52550,55950,17800,20350,23030,27750,32470,37190,41910,46630,47450,54200,61000,67750,73200,78600,84050,89450
KY,Butler County,21600,24700,27800,30850,33350,35800,38300,40750,13590,18310,23030,27750,32470,35800,38300,40750,34550,39500,44450,49350,53300,57250,61200,65150
KY,Caldwell County,23300,26600,29950,33250,35950,38600,41250,43900,14000,18310,23030,27750,32470,37190,41250,43900,37250,42600,47900,53200,57500,61750,66000,70250
KY,Calloway County,22750,26000,29250,32500,35100,37700,40300,42900,13650,18310,23030,27750,32470,37190,40300,42900,36400,41600,46800,52000,56200,60350,64500,68650
KY,Campbell County,33450,38200,43000,47750,51600,55400,59250,63050,20100,22950,25800,28650,32470,37190,41910,46630,53500,61150,68800,76400,82550,88650,94750,100850
KY,Carlisle County,22300,25500,28700,31850,34400,36950,39500,42050,13590,18310,23030,27750,32470,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
KY,Carroll County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Carter County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Casey County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Christian County,24700,28200,31750,35250,38100,40900,43750,46550,14850,18310,23030,27750,32470,37190,41910,46550,39500,45150,50800,56400,60950,65450,69950,74450
KY,Clark County,29550,33800,38000,42200,45600,49000,52350,55750,17750,20250,23030,27750,32470,37190,41910,46630,47250,54000,60750,67500,72900,78300,83700,89100
KY,Clay County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Clinton County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Crittenden County,23100,26400,29700,32950,35600,38250,40900,43500,13850,18310,23030,27750,32470,37190,40900,43500,36900,42200,47450,52700,56950,61150,65350,69600
KY,Cumberland County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Daviess County,25200,28800,32400,36000,38900,41800,44650,47550,15150,18310,23030,27750,32470,37190,41910,46630,40350,46100,51850,57600,62250,66850,71450,76050
KY,Edmonson County,25700,29400,33050,36700,39650,42600,45550,48450,15400,18310,23030,27750,32470,37190,41910,46630,41050,46900,52750,58600,63300,68000,72700,77400
KY,Elliott County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Estill County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Fayette County,29550,33800,38000,42200,45600,49000,52350,55750,17750,20250,23030,27750,32470,37190,41910,46630,47250,54000,60750,67500,72900,78300,83700,89100
KY,Fleming County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
