State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Aroostook County,19400,22150,24900,27650,29900,32100,34300,36500,11880,16020,20160,24300,28440,32100,34300,36500,31000,35400,39850,44250,47800,51350,54900,58450
ME,Cumberland County,25150,28750,32350,35900,38800,41650,44550,47400,15100,17250,20160,24300,28440,32580,36730,40890,40250,46000,51750,57450,62050,66650,71250,75850
ME,Cumberland County,25150,28750,32350,35900,38800,41650,44550,47400,15100,17250,20160,24300,28440,32580,36730,40890,40250,46000,51750,57450,62050,66650,71250,75850
ME,Cumberland County,25150,28750,32350,35900,38800,41650,44550,47400,15100,17250,20160,24300,28440,32580,36730,40890,40250,46000,51750,57450,62050,66650,71250,75850
