gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NV Nevada,NV Lyon County 32019,9,Summary of All HUD Programs,1,A,Lyon County,32019,204.0,99,193,96,5.15978953048615,7,2.45003374359045,494.170362054448,313.126275501877,552.595327608267,12886.1507197473,5259.58091534814,10,31,31,11,17,16,9,75,24,96,69,9,36,76,39,44,12,16,1,49,20,31,6,14,4,3,1,7,17.5666666666667,62.3085849878513,98,142.280986584352,26,32,42,28,10,18,48,A,A,A,-1,-1,NV,-1,A,lyon nv,86,14,86,0,0
County,NV Nevada,NV Mineral County 32021,9,Summary of All HUD Programs,1,A,Mineral County,32021,24.0,99,23,96,5.23484848484849,17,1.43478260869565,34.3398821218074,260.739130434783,310.086956521739,10969.0,7645.06060606061,4,52,35,4,4,4,4,91,23,96,87,0,17,70,13,73,17,33,0,22,26,52,0,22,9,0,0,13,17.9333333333333,71.8565217391305,48,154.363636363636,61,30,9,17,10,20,54,A,A,A,-1,-1,NV,-1,A,mineral nv,78,22,78,0,0
County,NV Nevada,NV No county code 32999,9,Summary of All HUD Programs,1,A,Missing County,32999,3.0,99,3,96,5.74444444444444,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8544.0,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,89.9111111111111,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,nan nv,100,0,100,0,0
County,NV Nevada,NV Nye County 32023,9,Summary of All HUD Programs,1,A,Nye County,32023,335.0,99,317,96,4.8954271961492,9,2.44479495268139,806.466928618208,310.306962025316,612.754777070062,11405.2334384858,4665.10838709676,16,36,22,14,12,16,17,65,22,98,76,6,45,79,46,44,44,19,3,51,26,19,1,18,7,1,2,8,18.3530864197531,45.2953732912723,89,138.459363957597,10,43,48,36,10,13,39,A,A,A,-1,-1,NV,-1,A,nye nv,82,18,82,0,0
County,NV Nevada,NV Pershing County 32027,9,Summary of All HUD Programs,1,A,Pershing County,32027,10.0,99,9,96,4.98333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8876.91666666667,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,-1.0,59.3777777777778,-4,-4.0,-4,-4,-4,-4,11,30,30,A,A,A,-1,-1,NV,-1,A,pershing nv,78,22,78,0,0
County,NV Nevada,NV Storey County 32029,9,Summary of All HUD Programs,1,A,Storey County,32029,10.0,99,9,96,3.37083333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,6200.28571428571,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,21.7666666666667,36.6111111111111,-4,-4.0,-4,-4,-4,-4,6,10,56,A,A,A,-1,-1,NV,-1,A,storey nv,78,22,78,0,0
County,NV Nevada,NV Washoe County 32031,9,Summary of All HUD Programs,1,A,Washoe County,32031,4570.0,98,4607,99,5.34507712893398,14,1.96054828984213,8700.80439096977,275.127732091475,544.153004138619,11436.3119571445,5830.13739249222,18,30,28,13,11,17,1,81,21,98,81,5,33,70,34,41,36,22,7,39,17,36,4,32,10,2,2,19,9.97166726434438,54.3960436726556,90,98.3652667519668,48,34,17,9,17,43,25,A,A,A,-1,-1,NV,-1,A,washoe nv,68,32,68,0,0
County,NV Nevada,NV White Pine County 32033,9,Summary of All HUD Programs,1,A,White Pine County,32033,4.0,99,4,96,4.56666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8635.125,-4,-4,-4,-4,-4,-4,-4,-4,31,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,20.0666666666667,44.725,-4,-4.0,-4,-4,-4,-4,10,16,60,A,A,A,-1,-1,NV,-1,A,white pine nv,100,0,100,0,0
County,NV Nevada,NV Carson City 32510,9,Public Housing,2,A,Carson city County,32510,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,carson city nv,-1,-1,-1,0,0
County,NV Nevada,NV Churchill County 32001,9,Public Housing,2,A,Churchill County,32001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,churchill nv,-1,-1,-1,0,0
County,NV Nevada,NV Clark County 32003,9,Public Housing,2,A,Clark County,32003,3158.0,87,2727,100,5.29550633923946,9,2.37436174233675,6486.75628006414,255.502658673294,714.863836017575,11435.6232118023,4816.29357814189,23,34,21,10,13,17,12,70,21,95,80,5,44,75,45,26,50,17,7,45,12,37,3,72,50,1,4,19,16.9860506475585,67.4316198095862,82,103.466237752849,40,32,29,6,21,59,35,A,A,A,-1,-1,NV,-1,A,clark nv,28,72,28,0,0
County,NV Nevada,NV Douglas County 32005,9,Public Housing,2,A,Douglas County,32005,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,douglas nv,-1,-1,-1,0,0
County,NV Nevada,NV Elko County 32007,9,Public Housing,2,A,Elko County,32007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,elko nv,-1,-1,-1,0,0
County,NV Nevada,NV Esmeralda County 32009,9,Public Housing,2,A,Esmeralda County,32009,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,esmeralda nv,-1,-1,-1,0,0
County,NV Nevada,NV Eureka County 32011,9,Public Housing,2,A,Eureka County,32011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,eureka nv,-1,-1,-1,0,0
County,NV Nevada,NV Humboldt County 32013,9,Public Housing,2,A,Humboldt County,32013,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,humboldt nv,-1,-1,-1,0,0
County,NV Nevada,NV Lander County 32015,9,Public Housing,2,A,Lander County,32015,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,lander nv,-1,-1,-1,0,0
County,NV Nevada,NV Lincoln County 32017,9,Public Housing,2,A,Lincoln County,32017,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,lincoln nv,-1,-1,-1,0,0
County,NV Nevada,NV Lyon County 32019,9,Public Housing,2,A,Lyon County,32019,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,lyon nv,-1,-1,-1,0,0
County,NV Nevada,NV Mineral County 32021,9,Public Housing,2,A,Mineral County,32021,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,mineral nv,-1,-1,-1,0,0
County,NV Nevada,NV No county code 32999,9,Public Housing,2,A,Missing County,32999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,nan nv,-1,-1,-1,0,0
County,NV Nevada,NV Nye County 32023,9,Public Housing,2,A,Nye County,32023,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,nye nv,-1,-1,-1,0,0
County,NV Nevada,NV Pershing County 32027,9,Public Housing,2,A,Pershing County,32027,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,pershing nv,-1,-1,-1,0,0
County,NV Nevada,NV Storey County 32029,9,Public Housing,2,A,Storey County,32029,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,storey nv,-1,-1,-1,0,0
County,NV Nevada,NV Washoe County 32031,9,Public Housing,2,A,Washoe County,32031,750.0,98,729,99,5.58690476190481,11,2.28532235939644,1677.42661179697,301.843621399179,358.000000000004,13515.0932784637,5913.86734693881,17,25,23,15,20,25,1,74,23,94,72,9,41,73,44,28,44,17,7,43,14,36,4,37,7,3,1,27,9.23843137254903,61.6468221307733,100,80.8257887517151,31,55,15,8,18,55,28,A,A,A,-1,-1,NV,-1,A,washoe nv,63,37,63,0,0
County,NV Nevada,NV White Pine County 32033,9,Public Housing,2,A,White Pine County,32033,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,white pine nv,-1,-1,-1,0,0
County,NV Nevada,NV Carson City 32510,9,Housing Choice Vouchers,3,A,Carson city County,32510,560.0,99,530,96,4.06236080178176,6,1.79622641509435,990.653569089724,293.525519848772,528.05133079848,11982.0603773585,6670.68487394954,12,29,31,18,10,18,7,73,24,97,71,3,30,75,30,48,25,24,5,43,20,32,3,19,3,4,0,13,19.54375,53.1918867924529,95,108.262425447316,48,35,17,15,11,23,44,A,A,A,-1,-1,NV,-1,A,carson city nv,81,19,81,0,0
County,NV Nevada,NV Churchill County 32001,9,Housing Choice Vouchers,3,A,Churchill County,32001,89.0,99,84,96,4.59019607843138,5,2.29761904761905,200.836280288147,284.583333333334,551.795180722892,11845.8571428572,5155.70984455958,11,37,31,10,12,19,7,65,23,98,77,6,44,77,44,53,38,24,1,61,19,19,2,23,4,11,0,10,22.0083333333333,58.3845238095238,96,151.62962962963,27,42,31,15,11,23,37,A,A,A,-1,-1,NV,-1,A,churchill nv,77,23,77,0,0
County,NV Nevada,NV Clark County 32003,9,Housing Choice Vouchers,3,A,Clark County,32003,9310.0,94,8858,98,5.19210448478173,3,2.83063725846254,24648.009814498,344.524611201578,853.503811683328,13508.2826791473,4772.17016725213,17,29,20,14,21,25,15,59,24,94,71,4,55,87,57,29,69,18,3,62,16,20,2,78,66,1,2,10,8.46425171304936,69.1681200096229,98,180.112306290483,15,32,53,24,12,44,48,A,A,A,-1,-1,NV,-1,A,clark nv,22,78,22,0,0
County,NV Nevada,NV Douglas County 32005,9,Housing Choice Vouchers,3,A,Douglas County,32005,319.0,99,302,96,4.5177865612648,7,2.38079470198676,748.193189259989,350.086666666666,655.553333333332,13890.1953642384,5834.26842837273,13,29,21,16,21,25,8,66,22,97,72,9,45,81,48,38,47,18,5,56,19,20,3,14,3,3,0,7,18.905,55.7682119205297,97,138.33904109589,17,41,42,29,9,13,60,A,A,A,-1,-1,NV,-1,A,douglas nv,86,14,86,0,0
County,NV Nevada,NV Elko County 32007,9,Housing Choice Vouchers,3,A,Elko County,32007,44.0,99,42,96,4.28421052631579,7,2.04761904761905,89.4918140144073,349.452380952381,490.804878048781,13895.0,6785.93023255814,10,24,38,7,21,22,10,68,25,95,71,0,40,76,40,52,55,26,7,50,17,26,2,17,0,2,2,12,18.2555555555556,58.1857142857143,88,131.189189189189,26,40,33,29,10,32,40,A,A,A,-1,-1,NV,-1,A,elko nv,83,17,83,0,0
County,NV Nevada,NV Esmeralda County 32009,9,Housing Choice Vouchers,3,A,Esmeralda County,32009,1.0,99,1,96,4.03333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,15628.0,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,48.7666666666667,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,esmeralda nv,100,0,100,0,0
County,NV Nevada,NV Eureka County 32011,9,Housing Choice Vouchers,3,A,Eureka County,32011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,eureka nv,-1,-1,-1,0,0
County,NV Nevada,NV Humboldt County 32013,9,Housing Choice Vouchers,3,A,Humboldt County,32013,24.0,99,23,96,5.19375,0,1.82608695652174,43.705304518664,271.173913043478,400.434782608696,11027.0434782609,6038.61904761905,9,57,17,4,13,17,9,74,20,100,87,4,30,70,30,53,38,26,0,43,22,35,0,17,0,13,0,4,-1.0,81.2057971014493,87,146.6,17,35,48,61,9,26,41,A,A,A,-1,-1,NV,-1,A,humboldt nv,83,17,83,0,0
County,NV Nevada,NV Lander County 32015,9,Housing Choice Vouchers,3,A,Lander County,32015,8.0,99,8,96,4.41666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,14116.5,-4,-4,-4,-4,-4,-4,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,-4,-4,-4,-4,15.4,44.8,-4,-4.0,-4,-4,-4,-4,11,28,29,A,A,A,-1,-1,NV,-1,A,lander nv,50,50,50,0,0
County,NV Nevada,NV Lincoln County 32017,9,Housing Choice Vouchers,3,A,Lincoln County,32017,7.0,99,7,96,4.5047619047619,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4667.33333333333,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,70.852380952381,-4,-4.0,-4,-4,-4,-4,18,12,50,A,A,A,-1,-1,NV,-1,A,lincoln nv,100,0,100,0,0
County,NV Nevada,NV Lyon County 32019,9,Housing Choice Vouchers,3,A,Lyon County,32019,174.0,99,165,96,4.84765432098765,6,2.69090909090909,462.027504911592,321.975609756097,603.419753086418,13002.2,4831.89864864865,12,29,30,12,18,18,10,70,24,96,69,10,42,78,45,43,20,16,1,56,22,21,3,15,4,3,0,8,17.5666666666667,60.1901010101009,98,155.5,13,38,49,33,10,17,48,A,A,A,-1,-1,NV,-1,A,lyon nv,85,15,85,0,0
County,NV Nevada,NV Mineral County 32021,9,Housing Choice Vouchers,3,A,Mineral County,32021,24.0,99,23,96,5.23484848484849,17,1.43478260869565,34.3398821218074,260.739130434783,310.086956521739,10969.0,7645.06060606061,4,52,35,4,4,4,4,91,23,96,87,0,17,70,13,73,17,33,0,22,26,52,0,22,9,0,0,13,17.9333333333333,71.8565217391305,48,154.363636363636,61,30,9,17,10,20,54,A,A,A,-1,-1,NV,-1,A,mineral nv,78,22,78,0,0
County,NV Nevada,NV No county code 32999,9,Housing Choice Vouchers,3,A,Missing County,32999,3.0,99,3,96,5.74444444444444,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8544.0,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,89.9111111111111,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,nan nv,100,0,100,0,0
County,NV Nevada,NV Nye County 32023,9,Housing Choice Vouchers,3,A,Nye County,32023,335.0,99,317,96,4.8954271961492,9,2.44479495268139,806.466928618208,310.306962025316,612.754777070062,11405.2334384858,4665.10838709676,16,36,22,14,12,16,17,65,22,98,76,6,45,79,46,44,44,19,3,51,26,19,1,18,7,1,2,8,18.3530864197531,45.2953732912723,89,138.459363957597,10,43,48,36,10,13,39,A,A,A,-1,-1,NV,-1,A,nye nv,82,18,82,0,0
County,NV Nevada,NV Pershing County 32027,9,Housing Choice Vouchers,3,A,Pershing County,32027,10.0,99,9,96,4.98333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8876.91666666667,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,-1.0,59.3777777777778,-4,-4.0,-4,-4,-4,-4,11,30,30,A,A,A,-1,-1,NV,-1,A,pershing nv,78,22,78,0,0
County,NV Nevada,NV Storey County 32029,9,Housing Choice Vouchers,3,A,Storey County,32029,10.0,99,9,96,3.37083333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,6200.28571428571,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,21.7666666666667,36.6111111111111,-4,-4.0,-4,-4,-4,-4,6,10,56,A,A,A,-1,-1,NV,-1,A,storey nv,78,22,78,0,0
