State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Barnstable County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
MA,Berkshire County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,27950,30000,32100,34150,45500,52000,58500,65000,70200,75400,80600,85800
