State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
RI,Bristol County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Bristol County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Bristol County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Kent County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Kent County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Kent County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Kent County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Kent County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Newport County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Newport County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Newport County,25700,29350,33050,36700,39650,42550,45500,48450,15400,17600,19800,22000,23800,25550,27300,29050,41100,46950,52850,58700,63400,68100,72800,77500
RI,Newport County,25700,29350,33050,36700,39650,42550,45500,48450,15400,17600,19800,22000,23800,25550,27300,29050,41100,46950,52850,58700,63400,68100,72800,77500
RI,Newport County,25700,29350,33050,36700,39650,42550,45500,48450,15400,17600,19800,22000,23800,25550,27300,29050,41100,46950,52850,58700,63400,68100,72800,77500
RI,Newport County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Providence County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Providence County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
RI,Providence County,25600,29250,32900,36600,39500,42450,45350,48300,15350,17550,19750,21950,23700,25450,27250,29000,41000,46850,52700,58550,63250,67900,72600,77300
